               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,             0.01994,           0.0087683,           0.0020087,             0.92198,             0.90978,             0.96999,             0.73429,            0.012467,           0.0038037,           0.0099778,            0.007294,            0.007294,            0.007294
                  84,            0.020188,           0.0089555,            0.001908,             0.95316,             0.83588,             0.88773,             0.70139,            0.012947,           0.0038146,           0.0090346,            0.007261,            0.007261,            0.007261
                  85,            0.019807,           0.0089005,           0.0020368,             0.87807,             0.92294,             0.95382,             0.71318,            0.013209,           0.0038875,           0.0023203,            0.007228,            0.007228,            0.007228
                  86,            0.019986,           0.0091777,           0.0022203,             0.95605,             0.91576,             0.93574,              0.7016,            0.012993,           0.0039114,           0.0038479,            0.007195,            0.007195,            0.007195
                  87,            0.019428,           0.0089726,           0.0016364,             0.94088,             0.97847,             0.98912,             0.76796,            0.012722,           0.0038422,           0.0026632,            0.007162,            0.007162,            0.007162
                  88,            0.019587,           0.0088338,           0.0022324,             0.88327,             0.91745,             0.95102,             0.75271,            0.013001,           0.0038861,           0.0033671,            0.007129,            0.007129,            0.007129
                  89,            0.019856,            0.008922,           0.0019904,             0.95554,             0.91524,             0.92824,             0.73392,            0.012662,           0.0038095,           0.0028264,            0.007096,            0.007096,            0.007096
                  90,            0.019708,           0.0088039,           0.0017102,              0.9445,             0.90912,             0.93575,             0.71815,            0.012554,           0.0038425,           0.0044265,            0.007063,            0.007063,            0.007063
                  91,            0.019434,             0.00869,           0.0016025,             0.95232,             0.92121,             0.92818,             0.72607,            0.012646,           0.0038521,           0.0024712,             0.00703,             0.00703,             0.00703
                  92,            0.019512,           0.0090145,           0.0019647,              0.9646,             0.85722,             0.91594,             0.72259,            0.012548,           0.0037959,           0.0016131,            0.006997,            0.006997,            0.006997
                  93,            0.019506,           0.0087262,           0.0022779,             0.86356,             0.85195,             0.86355,             0.67046,            0.013012,            0.003874,            0.014503,            0.006964,            0.006964,            0.006964
                  94,             0.01974,           0.0088815,           0.0019403,             0.84043,             0.86371,             0.87129,             0.68766,            0.012598,           0.0038201,           0.0024925,            0.006931,            0.006931,            0.006931
                  95,            0.019293,           0.0087185,           0.0015297,             0.84456,              0.9173,             0.89129,             0.69591,            0.012599,           0.0037931,           0.0038791,            0.006898,            0.006898,            0.006898
                  96,             0.01939,           0.0087666,           0.0017928,             0.94683,             0.85728,             0.89476,             0.69834,            0.012979,           0.0038084,           0.0030831,            0.006865,            0.006865,            0.006865
                  97,             0.01969,           0.0087432,           0.0018908,             0.83893,             0.85834,             0.87092,             0.67285,            0.013202,           0.0038812,           0.0040818,            0.006832,            0.006832,            0.006832
                  98,             0.01953,           0.0088953,           0.0023792,             0.88349,             0.91713,             0.93552,             0.73352,            0.012999,             0.00388,           0.0025216,            0.006799,            0.006799,            0.006799
                  99,            0.019553,           0.0090041,           0.0020754,             0.85336,             0.91764,              0.9263,             0.73692,            0.013038,           0.0039184,           0.0034827,            0.006766,            0.006766,            0.006766
                 100,            0.019451,           0.0088912,           0.0021826,             0.94524,             0.96733,             0.99181,             0.75276,            0.012894,           0.0038926,           0.0030327,            0.006733,            0.006733,            0.006733
                 101,            0.019212,           0.0087369,           0.0016326,             0.95696,             0.92126,             0.97272,             0.72639,            0.012683,           0.0038342,           0.0016375,              0.0067,              0.0067,              0.0067
                 102,            0.019208,           0.0088499,           0.0018492,             0.93502,             0.93837,             0.99439,             0.75623,            0.012604,           0.0037937,           0.0014736,            0.006667,            0.006667,            0.006667
                 103,            0.019255,           0.0087275,           0.0017762,             0.96377,             0.84924,             0.95359,             0.72049,            0.012392,           0.0037494,           0.0027484,            0.006634,            0.006634,            0.006634
                 104,            0.018939,           0.0088232,           0.0017103,             0.94583,             0.98005,             0.99032,             0.71949,            0.012529,            0.003728,           0.0025892,            0.006601,            0.006601,            0.006601
                 105,             0.01883,           0.0086133,           0.0013613,             0.94153,              0.9167,             0.97114,             0.70859,             0.01258,           0.0037268,           0.0034716,            0.006568,            0.006568,            0.006568
                 106,            0.018735,           0.0085014,           0.0017198,             0.95442,             0.91313,             0.96673,             0.71909,            0.012195,            0.003716,           0.0035644,            0.006535,            0.006535,            0.006535
                 107,             0.01902,           0.0084158,            0.001544,             0.94713,             0.85744,             0.93527,             0.72173,            0.012337,           0.0037307,           0.0084485,            0.006502,            0.006502,            0.006502
                 108,            0.018804,            0.008562,           0.0015126,               0.878,             0.96275,              0.9665,             0.72676,            0.012267,           0.0037045,           0.0028146,            0.006469,            0.006469,            0.006469
                 109,             0.01909,            0.008716,           0.0018908,             0.96526,             0.92836,             0.97924,             0.75209,            0.012312,           0.0036973,           0.0018993,            0.006436,            0.006436,            0.006436
                 110,            0.018801,           0.0087804,           0.0017782,             0.96897,             0.92878,             0.96696,               0.724,            0.012267,           0.0036683,           0.0013302,            0.006403,            0.006403,            0.006403
                 111,            0.018904,            0.008665,           0.0018786,             0.93339,             0.97533,             0.99283,             0.73863,            0.012178,           0.0036746,            0.001635,             0.00637,             0.00637,             0.00637
                 112,             0.01897,            0.008765,           0.0015537,              0.9594,             0.91718,             0.95227,             0.72662,            0.011892,           0.0036665,           0.0015637,            0.006337,            0.006337,            0.006337
